CBS	Naam	Prov	ART.12	Beschermd wonen	Participatie	aanpak laaggeletterdheid	armoedebestrijding kinderen	beeldende kunst en vormgeving	begeleiding jongeren naar werk	behoud sociale voorzieningen Groningen	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	dakloze EU burgers	einde lening inburgeringsplichtig	Ex Ante Impact Analyse NPLV	experiment gesloten coffeeshopketen	extra capaciteit BOA's	faciliteitenbesluit opvangcentra	gemeentelijke antidiscriminatie voorzieningen	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke begeleiding	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	outreachend werken	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	slavernijverleden	social labs	Uitstapprogramma prostituees	uitvoeringskosten Lbv en Lbv-plus	uitvoeringskosten Omgevingswet	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	weerbare gemeenschappen tegen ondermijnende criminaliteit	Wet kwaliteitsborging bouw
1979	Eemsdelta	1	0	0	10511993	0	339782	0	0	0	0	0	0	580	0	0	36821	0	6372	0	68735	0	0	2370	0	0	0	0	0	0	0	0	0	0	283379	7062	0	0	429516	0	0	23000	95382	0	0	29912
14	Groningen	1	0	78225046	32127108	249703	1317312	473748	595530	629000	449767	0	0	8258	12389	185000	71726	0	33426	553998	52520	0	20000	7110	17593234	2512945	0	345035	136659	0	0	0	201876	0	703492	7062	30000	265650	418815	7213	400077	59000	410493	7725677	35000	146199
1966	Het Hogeland	1	0	0	8590298	0	215890	0	0	0	0	0	0	3767	0	0	37239	196122	6779	0	87669	0	0	11850	0	0	0	0	0	397208	0	0	0	0	400009	7062	0	0	371479	0	0	13000	108432	0	0	32379
1952	Midden-Groningen	1	0	0	12342859	0	379171	0	0	0	0	0	0	3622	0	0	39637	0	8640	0	2346	0	0	0	0	0	0	0	0	0	0	0	0	0	327426	7062	0	0	614845	0	0	35000	116082	0	0	33946
1895	Oldambt	1	0	0	14375671	0	245057	0	0	0	0	0	0	145	0	0	35462	0	5480	0	38175	0	0	2370	0	0	0	0	0	0	0	0	0	0	245950	7062	0	0	183383	0	0	16000	81641	0	0	24274
765	Pekela	1	0	0	5388589	0	102466	0	0	0	0	0	0	290	0	0	30607	0	1741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87333	7062	0	0	52534	0	0	2000	23878	0	0	9212
37	Stadskanaal	1	0	0	19680777	0	173366	0	0	0	0	0	0	1594	0	0	34248	0	4510	0	49732	0	0	2370	0	0	0	0	0	0	0	0	0	0	171442	7062	0	0	184356	0	0	6000	60237	0	0	18623
47	Veendam	1	0	0	10298624	0	184324	0	0	0	0	0	0	1449	0	0	33442	0	3876	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	138325	7062	0	0	228135	0	0	9000	49962	0	0	16822
1969	Westerkwartier	1	0	0	9303752	0	205532	0	0	0	0	0	0	2173	0	0	40186	0	9116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380646	7062	0	0	289577	0	0	16000	130023	0	0	36208
1950	Westerwolde	1	0	0	9576967	0	123265	0	0	0	0	2731401	0	435	0	0	33218	0	3725	0	174352	0	0	4740	0	0	0	0	0	0	0	0	0	0	241911	7062	0	0	129390	0	0	3000	62189	0	0	19035
59	Achtkarspelen	2	0	0	5430281	0	137548	0	0	0	0	0	0	580	0	0	33532	0	3951	0	578	0	0	0	0	0	0	0	0	0	0	0	0	0	153513	7062	0	0	146901	0	0	7000	56900	0	0	16245
60	Ameland	2	0	0	299632	0	5534	0	0	0	0	0	0	0	0	0	29040	0	539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72052	7062	0	0	22376	0	0	1000	7718	0	0	6626
1891	Dantumadiel	2	0	0	5819648	0	75643	0	0	0	0	0	0	580	0	0	31866	0	2694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122572	7062	0	0	67613	0	0	2000	37448	0	0	11853
1940	De Fryske Marren	2	0	0	3576929	0	178109	0	0	0	0	0	0	1014	0	0	37972	0	7298	0	43920	0	0	4740	0	0	0	0	0	0	0	0	0	0	343345	7062	0	0	307812	0	0	9000	110888	0	0	31741
72	Harlingen	2	0	0	2251679	0	84721	0	0	0	0	0	0	869	0	0	31283	0	2272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83650	7062	0	0	283101	0	0	6000	28071	0	0	11137
74	Heerenveen	2	0	0	9295360	0	198308	0	0	0	0	0	0	3187	0	0	37763	0	7248	0	1700	0	0	0	0	0	0	0	0	0	0	0	0	0	256765	7062	0	0	113941	0	0	16000	102574	0	0	30072
80	Leeuwarden	2	0	47999964	15534010	220610	767746	150000	499676	0	355328	0	0	5216	12389	0	51493	0	17836	142644	67239	0	20000	16590	14758097	2107986	178600	352035	136659	493820	0	0	223380	0	463813	7062	30000	271040	381574	0	400077	32000	258187	6915889	0	70331
1970	Noardeast-Fryslân	2	0	0	11647744	0	200625	0	0	0	0	0	0	1594	0	0	36801	0	6430	0	2176	0	0	0	0	0	0	0	0	0	0	0	0	0	341643	7062	0	0	52534	0	0	8000	104483	0	0	28011
85	Ooststellingwerf	2	0	0	3135931	0	111625	0	0	0	0	0	0	1159	0	0	33079	0	3626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	212385	7062	0	0	78315	0	0	5000	53890	0	0	18931
86	Opsterland	2	0	0	3897302	0	110317	0	0	0	0	0	0	435	0	0	33887	0	4218	0	7581	0	0	0	0	0	0	0	0	0	0	0	0	6514	223153	7062	0	0	142037	0	0	6000	63208	0	0	19867
88	Schiermonnikoog	2	0	0	11296	0	2017	0	0	0	0	0	0	0	0	0	28516	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55272	7062	0	0	12161	0	0	0	1685	0	0	4660
90	Smallingerland	2	0	0	12497478	0	306281	0	0	0	0	0	0	1304	0	0	38765	0	7874	0	107249	0	0	0	0	0	0	0	0	0	0	0	0	0	228789	7062	0	0	177060	0	0	15000	104291	0	0	29470
1900	Súdwest-Fryslân	2	0	0	17061659	0	415016	0	0	0	0	0	0	3187	0	0	45081	0	12756	0	65675	0	20000	4740	0	0	0	0	0	0	0	0	0	0	528409	7062	0	0	344114	0	0	23000	200509	0	0	51488
93	Terschelling	2	0	0	230518	0	7632	0	0	0	0	0	0	0	0	0	29249	0	692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88583	7062	0	0	10215	0	0	0	10699	0	0	6524
737	Tytsjerksteradiel	2	0	0	3932904	0	98105	0	0	0	0	0	0	724	0	0	34305	0	4549	0	139679	0	0	4740	0	0	0	0	0	0	0	0	0	0	188466	7062	0	0	154198	0	0	9000	69581	0	0	18507
96	Vlieland	2	0	0	11296	0	2481	0	0	0	0	0	0	0	0	0	28565	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55320	7062	0	0	10215	0	0	0	2804	0	0	4423
1949	Waadhoeke	2	0	0	6301009	0	189722	0	0	0	0	0	0	1304	0	0	36926	0	6557	0	55715	0	0	0	0	0	0	0	0	0	0	0	0	0	295702	7062	0	0	230611	0	0	9000	100762	0	0	27094
98	Weststellingwerf	2	0	0	5216275	0	96088	0	0	0	0	0	0	580	0	0	33203	0	3715	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	6514	212212	7062	0	0	146901	0	0	7000	54431	0	0	19646
1680	Aa en Hunze	3	0	0	104424	0	72127	0	0	0	0	0	0	869	0	0	33067	0	3611	0	11796	0	0	11850	0	0	0	0	0	0	0	0	0	0	240170	7062	0	0	57398	0	0	8000	60895	0	0	17250
106	Assen	3	0	40178975	19789952	0	349949	150000	0	0	0	0	0	3477	0	0	41145	450843	9743	0	99363	0	20000	2370	4623130	660349	0	257026	0	0	0	0	168872	0	242155	7062	30000	197890	217433	0	0	16000	117583	0	0	34030
1681	Borger-Odoorn	3	0	0	5500830	0	92735	0	0	0	0	0	0	435	0	0	33104	0	3638	0	1768	0	0	4740	0	0	0	0	0	0	0	0	0	0	240028	7062	0	0	74423	0	0	4000	66636	0	0	17237
109	Coevorden	3	0	0	4731968	0	179145	0	0	0	0	0	0	3622	0	0	34911	0	5011	0	32328	0	0	0	0	0	0	0	0	0	0	0	0	0	274916	7062	0	0	189220	0	0	18000	74072	0	0	24302
1690	De Wolden	3	0	0	1063355	0	74826	0	0	0	0	0	0	1594	0	0	32876	0	3453	0	9654	0	0	0	0	0	0	0	0	0	0	0	0	13028	209962	7062	0	0	128903	0	0	7000	50026	0	0	18364
114	Emmen	3	0	15974951	26830658	149573	623547	150000	266701	0	476125	0	0	5216	0	0	48247	0	15266	82888	148211	0	20000	0	3200999	457217	0	0	136659	0	0	0	0	0	472309	7062	0	0	810875	0	400077	25000	199059	5051226	0	52992
118	Hoogeveen	3	0	0	20535462	0	288508	0	0	0	0	0	0	1883	0	0	38684	0	7921	0	34571	0	0	0	0	0	0	0	0	0	0	0	0	0	235229	7062	0	0	177060	0	0	21000	101966	0	0	29752
119	Meppel	3	0	0	8176103	0	146108	0	0	0	0	0	0	1449	0	0	34738	0	4978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	146344	7062	0	0	218893	0	0	9000	57894	0	0	19365
1731	Midden-Drenthe	3	0	0	185116	0	106037	0	0	0	0	0	0	869	0	0	34551	0	4770	0	4793	0	0	2370	0	0	0	0	0	0	0	0	0	13028	294436	7062	0	0	122093	0	0	11000	70744	0	0	23848
1699	Noordenveld	3	0	0	3463424	0	110944	0	0	0	0	0	0	1014	0	0	34148	0	4434	0	13767	0	0	0	0	0	0	0	0	0	0	0	0	0	213353	7062	0	0	125985	0	0	6000	57614	0	0	19428
1730	Tynaarlo	3	0	0	182742	0	98241	0	0	0	0	0	0	869	0	0	34662	0	4855	0	42322	0	0	0	0	0	0	0	0	0	0	0	0	0	190176	7062	0	0	50589	0	0	8000	68166	0	0	18484
1701	Westerveld	3	0	0	3208104	0	49011	0	0	0	0	0	0	145	0	0	31999	0	2788	0	16317	0	0	0	0	0	0	0	0	0	0	0	0	19542	227326	7062	0	0	39887	0	0	3000	47689	0	0	15402
141	Almelo	4	0	14889901	12903890	0	496548	0	0	0	343916	0	0	3042	0	0	41944	0	10379	296468	39160	0	0	7110	3018261	431116	0	0	0	0	0	0	0	0	245264	7062	30000	0	256348	2404	0	17000	132381	0	0	39780
147	Borne	4	0	0	2974981	0	68038	0	0	0	0	0	0	2173	0	0	32745	0	3442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104285	7062	0	0	0	0	0	4000	38198	0	0	13026
148	Dalfsen	4	0	0	3259722	0	67547	0	0	0	0	0	0	1449	0	0	33718	0	4156	0	2516	0	0	7110	0	0	0	0	0	0	0	0	0	0	190494	7062	0	0	48643	0	0	5000	49938	0	0	20472
150	Deventer	4	0	19746607	18941406	0	544305	150000	0	0	327498	0	0	5650	0	0	47170	0	14426	235941	50990	0	20000	26070	3845636	549295	0	0	0	0	0	0	0	0	348459	7062	0	0	258780	0	0	27000	173806	0	0	49999
1774	Dinkelland	4	0	0	2282791	0	68147	0	0	0	0	0	0	1449	0	0	33291	0	3754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189277	7062	0	0	63236	0	0	5000	42021	0	0	19281
153	Enschede	4	0	38356791	28256033	227505	1176902	404571	567020	0	400083	0	0	9562	0	0	58049	0	22631	793023	12340	0	20000	4740	9038842	1291071	0	360036	136659	0	0	0	216359	0	494744	7062	30000	277200	330285	6412	400077	28000	285440	7280508	0	83184
158	Haaksbergen	4	0	0	2557871	0	71963	0	0	0	0	0	0	1304	0	0	32849	0	3439	0	918	0	0	0	0	0	0	0	0	0	0	0	0	0	146139	7062	0	0	40860	0	0	4000	36443	0	0	17055
160	Hardenberg	4	0	0	9857022	0	197327	0	0	0	0	0	0	3332	0	0	39754	0	8774	0	51602	0	0	0	0	0	0	0	0	0	0	0	0	6514	347924	7062	0	0	261698	0	0	17000	115711	0	0	37111
163	Hellendoorn	4	0	0	4056160	0	106446	0	0	0	0	0	0	1594	0	0	35025	0	5090	0	3739	0	0	0	0	0	0	0	0	0	0	0	0	6514	192113	7062	0	0	148847	0	0	6000	56411	0	0	21063
164	Hengelo	4	0	0	14427537	0	424748	0	0	0	361198	0	0	5505	0	0	43416	0	11553	74792	42798	0	20000	11850	0	0	0	0	0	0	0	0	0	0	262058	7062	30000	0	231540	0	0	19000	129634	0	0	42144
1735	Hof van Twente	4	0	0	2976402	0	108190	0	0	0	0	0	0	2318	0	0	34860	0	4976	0	10402	0	0	0	0	0	0	0	0	0	0	0	0	0	229578	7062	0	0	133768	0	0	7000	52254	0	0	25723
166	Kampen	4	0	0	6109945	0	216326	0	0	0	0	0	0	2463	0	0	38474	0	7806	0	11184	0	0	0	0	0	0	0	0	0	0	0	0	0	240063	7062	0	0	251483	0	0	13000	99659	0	0	28234
168	Losser	4	0	0	3316999	0	94997	0	0	0	0	0	0	1159	0	0	32600	0	3279	0	0	0	0	7110	0	0	0	0	0	0	0	0	0	0	140180	7062	0	0	84638	0	0	3000	36565	0	0	14410
173	Oldenzaal	4	0	0	7132688	0	135204	0	0	0	0	0	0	1594	0	0	34239	0	4481	0	0	0	0	7110	0	0	0	0	0	0	0	0	0	0	119769	7062	0	0	71505	0	0	5000	46795	0	0	17719
1773	Olst-Wijhe	4	0	0	2287571	0	58389	0	0	0	0	0	0	1014	0	0	31758	0	2622	0	14889	0	0	0	0	0	0	0	0	0	0	0	0	19542	136838	7062	0	0	25294	0	0	5000	31070	0	0	13348
175	Ommen	4	0	0	3144436	0	66784	0	0	0	0	0	0	1449	0	0	31745	0	2661	0	15093	0	0	0	0	0	0	0	0	0	0	0	0	6514	172579	7062	0	0	15566	0	0	8000	38689	0	0	15457
177	Raalte	4	0	0	4753110	0	113833	0	0	0	0	0	0	1739	0	0	35394	0	5404	0	272	0	0	2370	0	0	0	0	0	0	0	0	0	0	215061	7062	0	0	125985	0	0	9000	62461	0	0	24341
1742	Rijssen-Holten	4	0	0	3191373	0	110398	0	0	0	0	0	0	2173	0	0	35448	0	5403	0	2040	0	0	0	0	0	0	0	0	0	0	0	0	0	174195	7062	0	0	50102	0	0	9000	65626	0	0	20196
180	Staphorst	4	0	0	1292375	0	46395	0	0	0	0	0	0	724	0	0	31553	0	2474	0	0	0	0	7110	0	0	0	0	0	0	0	0	0	13028	145106	7062	0	0	90962	0	0	4000	35249	0	0	12664
1708	Steenwijkerland	4	0	0	7366826	0	169686	0	0	0	0	0	0	2028	0	0	36589	0	6369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293984	7062	0	0	157603	0	0	7000	94208	0	0	26455
183	Tubbergen	4	0	0	2456630	0	42197	0	0	0	0	0	0	1449	0	0	32307	0	3005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161167	7062	0	0	58371	0	0	3000	36418	0	0	17561
1700	Twenterand	4	0	0	7012549	0	129343	0	0	0	0	0	0	1449	0	0	34610	0	4754	0	1156	0	0	2370	0	0	0	0	0	0	0	0	0	0	169398	7062	0	0	93394	0	0	6000	58347	0	0	18418
189	Wierden	4	0	0	2358430	0	55608	0	0	0	0	0	0	1159	0	0	32906	0	3490	0	18220	0	0	0	0	0	0	0	0	0	0	0	0	0	141587	7062	0	0	57398	0	0	5000	41859	0	0	15915
1896	Zwartewaterland	4	0	0	1151538	0	70464	0	0	0	0	0	0	2028	0	0	32588	0	3280	0	0	0	0	7110	0	0	0	0	0	0	0	0	0	0	131338	7062	0	0	333690	0	0	3000	40327	0	0	14510
193	Zwolle	4	0	72456596	15324563	178695	626082	150000	384151	0	295526	0	0	6519	0	0	52490	126937	18585	207412	16827	0	20000	7110	10665180	1523370	0	280028	136659	0	0	0	184828	0	409222	7062	0	215600	400817	0	400077	26000	230194	6128877	0	64256
197	Aalten	5	0	0	7065373	0	80632	0	0	0	0	0	0	1739	0	0	33387	0	3824	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	0	148370	7062	0	0	37455	0	0	5000	44984	0	0	18220
200	Apeldoorn	5	0	46684638	22624369	209407	732664	150000	474696	0	0	0	0	11300	0	0	58988	0	23467	75177	40112	0	20000	16590	4230876	604321	0	413041	136659	0	0	0	286747	82821	615017	7062	0	318010	179492	0	400077	30000	272355	5645319	0	80680
202	Arnhem	5	0	72417706	31600803	193490	1161882	374923	384383	0	309352	507363	0	3332	12389	162500	58550	0	23267	565178	143758	0	20000	2370	8477724	1210923	0	362036	136659	0	0	0	246851	0	482786	7062	30000	278740	226675	0	400077	29000	320023	8031746	35000	79475
203	Barneveld	5	0	0	2940841	0	160282	0	0	0	0	0	0	3187	0	0	39500	0	8654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400149	273481	7062	0	0	81720	0	0	12000	121345	0	0	36568
1945	Berg en Dal	5	0	0	4113052	0	124300	0	0	0	0	0	0	1159	0	0	34854	0	4972	0	28181	0	0	2370	0	0	0	0	0	0	0	0	0	0	162429	7062	0	0	148847	0	0	5000	58683	0	0	17787
1859	Berkelland	5	0	0	6376408	0	132233	0	0	0	0	0	0	2028	0	0	36497	31881	6179	0	2719	0	0	2370	0	0	0	0	0	0	0	0	0	0	274690	7062	0	0	173168	0	0	7000	74353	0	0	31047
209	Beuningen	5	0	0	3096129	0	73027	0	0	0	0	0	0	1159	0	0	33208	0	3730	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	0	118164	7062	0	0	129876	0	0	7000	41275	0	0	14505
1876	Bronckhorst	5	0	0	4561998	0	93116	0	0	0	0	0	0	2318	0	0	35054	0	5092	0	8532	0	0	0	0	0	0	0	0	0	0	0	0	13028	269579	7062	0	0	128903	0	0	8000	61412	0	0	26593
213	Brummen	5	0	0	2236917	0	63949	0	0	0	0	0	0	724	0	0	32227	0	2962	0	0	0	0	2370	0	0	0	0	0	297737	0	0	0	0	126704	7062	0	0	37941	0	0	4000	31328	0	0	13854
214	Buren	5	0	0	2121439	0	88591	0	0	0	0	0	0	1014	0	0	33366	0	3891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	169203	7062	0	0	158576	0	0	3000	51941	0	0	16999
216	Culemborg	5	0	0	3878293	0	105928	0	0	0	0	0	0	1014	0	0	33759	0	4173	0	10402	0	0	2370	0	0	0	0	0	281176	0	0	0	0	118573	7062	0	0	68586	0	0	3000	45039	0	0	15848
221	Doesburg	5	0	0	1583046	0	55608	0	0	0	0	0	0	724	0	0	30401	0	1555	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	0	64237	7062	0	0	20430	0	0	1000	16301	0	0	7938
222	Doetinchem	5	0	30110629	9115118	145493	277086	0	262211	0	0	0	0	2608	0	0	39180	0	8309	0	30900	0	0	9480	3913503	558989	0	0	136659	303978	0	0	0	31640	216045	7062	0	0	143983	0	400077	8000	92958	0	0	29616
225	Druten	5	0	0	2327007	0	56290	0	0	0	0	0	0	1304	0	0	31875	0	2738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98222	7062	0	0	152738	0	0	3000	29545	0	0	11922
226	Duiven	5	0	0	2084659	0	89027	0	0	0	0	0	0	1739	0	0	33005	0	3500	0	37665	0	0	0	0	0	0	0	0	0	0	0	0	13028	109498	7062	0	0	63236	0	0	9000	39200	0	0	14866
228	Ede	5	0	25531703	9413407	151666	410709	150000	267579	0	0	0	0	6375	0	0	50387	0	17126	58600	11116	0	20000	2370	3631978	518777	0	0	136659	0	0	0	0	230783	494599	7062	0	0	314719	0	400077	19000	207757	3063752	0	61977
230	Elburg	5	0	0	3703140	0	86193	0	0	0	0	0	0	1014	0	0	32700	0	3374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123238	7062	0	0	27240	0	0	5000	40531	0	0	12895
232	Epe	5	0	0	4375831	0	110671	0	0	0	0	0	0	1159	0	0	34517	0	4672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19542	194601	7062	0	0	72964	0	0	3000	54831	0	0	20088
233	Ermelo	5	0	0	3973403	0	73463	0	0	0	0	0	0	1014	0	0	33367	0	3859	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	32570	143174	7062	0	0	53994	0	0	7000	45026	0	0	17102
243	Harderwijk	5	0	0	5497954	0	201716	0	0	0	0	0	0	3332	0	0	37405	0	6864	0	61392	0	0	4740	0	0	0	0	0	0	0	0	0	50251	169923	7062	0	0	175114	0	0	11000	77340	0	0	23582
244	Hattem	5	0	0	861637	0	31184	0	0	0	0	0	0	580	0	0	30617	0	1763	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	6514	73930	7062	0	0	43779	0	0	4000	19272	0	0	8367
246	Heerde	5	0	0	2575784	0	45795	0	0	0	0	0	0	1014	0	0	31835	0	2697	0	0	0	0	4740	0	0	0	0	0	0	0	0	0	0	119451	7062	0	0	56912	0	0	3000	31826	0	0	11880
252	Heumen	5	0	0	1272134	0	45849	0	0	0	0	0	0	869	0	0	31424	0	2361	0	12204	0	0	0	0	0	0	0	0	0	0	0	0	0	93033	7062	0	0	90476	0	0	4000	25784	0	0	10705
1705	Lingewaard	5	0	0	4048715	0	131470	0	0	0	0	0	0	2753	0	0	37051	0	6628	0	0	0	0	11850	0	0	0	0	0	0	0	0	0	31640	177992	7062	0	0	160035	0	0	8000	68478	0	0	21867
262	Lochem	5	0	0	3011690	0	105928	0	0	0	0	0	0	1594	0	0	34657	0	4816	0	15671	0	0	2370	0	0	0	0	0	0	0	0	0	0	227313	7062	0	0	123066	0	0	10000	59446	0	0	24046
263	Maasdriel	5	0	0	1676704	0	71473	0	0	0	0	0	0	1594	0	0	33076	0	3652	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	6514	129081	7062	0	0	62749	0	0	5000	44292	0	0	16198
1955	Montferland	5	0	0	4953995	0	128662	0	0	0	0	0	0	2028	0	0	35044	0	5177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13028	176462	7062	0	0	22376	0	0	8000	51717	0	0	21447
1740	Neder-Betuwe	5	0	0	1279376	0	91672	0	0	0	0	0	0	869	0	0	32927	0	3572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13028	124553	7062	0	0	119661	0	0	5000	52979	0	0	14181
267	Nijkerk	5	0	0	2231560	0	128117	0	0	0	0	0	0	1883	0	0	36452	0	6313	0	0	0	0	0	0	0	0	0	0	330169	0	0	0	63279	176630	7062	0	0	142523	0	0	12000	73037	0	0	22012
268	Nijmegen	5	0	60820208	25226216	167233	1018746	150000	288625	0	314536	0	0	9127	0	196250	61327	0	25613	605273	74752	0	20000	4740	10431739	1490026	0	284028	136659	510387	0	0	178595	0	499017	7062	30000	218680	410545	1603	400077	34000	307712	5990426	0	87254
302	Nunspeet	5	0	0	4045451	0	88319	0	0	0	0	0	0	1014	0	0	33554	0	4033	0	29846	0	0	11850	0	0	0	0	0	0	0	0	0	0	169074	7062	0	0	74423	0	0	6000	53912	0	0	15699
269	Oldebroek	5	0	0	2386728	0	69456	0	0	0	0	0	0	1014	0	0	32762	0	3406	0	0	0	0	2370	0	0	0	0	0	256127	0	0	0	6514	141821	7062	0	0	32104	0	0	7000	45436	0	0	14027
1586	Oost Gelre	5	0	0	6630910	0	69347	0	0	0	0	0	0	1014	0	0	33843	0	4189	0	13325	0	0	9480	0	0	0	0	0	0	0	0	0	0	161714	7062	0	0	125985	0	0	7000	45787	0	0	20735
1509	Oude IJsselstreek	5	0	0	5428727	0	176801	0	0	0	0	0	0	1304	0	0	35660	0	5560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199132	7062	0	0	130363	0	0	5000	60201	0	0	24368
1734	Overbetuwe	5	0	0	3890977	0	152650	0	0	0	0	0	0	1883	0	0	37310	0	6837	0	2448	0	0	0	0	0	0	0	0	0	0	0	0	26056	206611	7062	0	0	121121	0	0	13000	79835	0	0	25063
273	Putten	5	0	0	2184067	0	66784	0	0	0	0	0	0	869	0	0	32874	0	3496	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	64210	136699	7062	0	0	121121	0	0	8000	40189	0	0	16755
274	Renkum	5	0	0	2538085	0	121356	0	0	0	0	0	0	1594	0	0	34186	0	4416	0	10572	0	0	2370	0	0	0	0	0	0	0	0	0	0	131623	7062	0	0	65668	0	0	4000	46674	0	0	16127
275	Rheden	5	0	0	6906326	0	220879	0	0	0	0	0	0	1304	0	0	36438	0	6115	0	37087	0	0	4740	0	0	0	0	0	0	0	0	0	0	179754	7062	0	0	106041	0	0	11000	67550	0	0	22540
277	Rozendaal	5	0	0	81320	0	2835	0	0	0	0	0	0	290	0	0	28664	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50447	7062	0	0	0	0	0	0	3384	0	0	4268
279	Scherpenzeel	5	0	0	226745	0	27586	0	0	0	0	0	0	290	0	0	30227	0	1458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	63738	7062	0	0	9242	0	0	1000	17048	0	0	8143
281	Tiel	5	0	0	9154555	140518	219652	0	233579	0	0	0	0	1304	0	0	36139	0	5980	0	340	0	0	7110	0	0	0	0	136659	0	0	0	0	0	151502	7062	0	0	286020	0	400077	13000	67331	0	0	22939
285	Voorst	5	0	0	2466063	0	48902	0	0	0	0	0	0	1304	0	0	32953	0	3539	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	57696	157522	7062	0	0	67613	0	0	7000	48796	0	0	17351
289	Wageningen	5	0	0	3943044	0	150714	0	0	0	0	0	0	1304	0	0	35714	0	5749	0	28690	0	0	0	0	0	0	0	0	0	0	0	0	0	146238	7062	0	0	23835	0	0	3000	49239	0	0	22139
1960	West Betuwe	5	0	0	3382851	0	141583	0	0	0	0	0	0	1449	0	0	37920	0	7400	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	0	272975	7062	0	0	134741	0	0	15000	93754	0	0	28742
