CBS	Naam	Prov	ART.12	Beschermd wonen	Participatie	aanpak laaggeletterdheid	armoedebestrijding kinderen	beeldende kunst en vormgeving	begeleiding jongeren naar werk	behoud sociale voorzieningen Groningen	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	dakloze EU burgers	einde lening inburgeringsplichtig	Ex Ante Impact Analyse NPLV	experiment gesloten coffeeshopketen	extra capaciteit BOA's	faciliteitenbesluit opvangcentra	gemeentelijke antidiscriminatie voorzieningen	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke begeleiding	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	outreachend werken	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	slavernijverleden	social labs	Uitstapprogramma prostituees	uitvoeringskosten Lbv en Lbv-plus	uitvoeringskosten Omgevingswet	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	weerbare gemeenschappen tegen ondermijnende criminaliteit	Wet kwaliteitsborging bouw
668	West Maas en Waal	5	0	0	1207445	0	62968	0	0	0	0	0	0	290	0	0	31985	0	2816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120113	7062	0	0	140091	0	0	4000	34751	0	0	13623
293	Westervoort	5	0	0	3146104	0	77960	0	0	0	0	0	0	290	0	0	31135	0	2121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71535	7062	0	0	44265	0	0	2000	23293	0	0	8938
296	Wijchen	5	0	0	4482652	0	153222	0	0	0	0	0	0	3332	0	0	36017	0	5830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	166563	7062	0	0	145928	0	0	10000	63772	0	0	22499
294	Winterswijk	5	0	0	6824252	0	102221	0	0	0	0	0	0	1594	0	0	33740	0	4106	0	55817	0	0	2370	0	0	0	0	0	0	0	0	0	0	175321	7062	0	0	230567	0	0	5000	50683	0	0	20910
297	Zaltbommel	5	0	0	3233026	0	97887	0	0	0	0	0	0	2173	0	0	33819	0	4260	0	4487	0	0	2370	0	0	0	0	0	0	0	0	0	0	146182	7062	0	0	220352	0	0	9000	53949	0	0	17116
299	Zevenaar	5	0	0	5218310	0	169686	0	0	0	0	0	0	1449	0	0	36544	0	6322	0	14549	0	0	2370	0	0	0	0	0	0	0	0	0	31640	188940	7062	0	0	133767	0	0	10000	72965	0	0	24439
301	Zutphen	5	0	0	10943259	0	258496	0	0	0	0	0	0	3042	0	0	37290	0	6809	0	57551	0	0	7110	0	0	0	0	0	0	0	0	0	0	170027	7062	0	0	124039	0	0	10000	77886	0	0	25527
307	Amersfoort	6	0	27298207	18624734	158461	707340	150000	275088	0	294662	0	0	2608	0	0	57627	174687	22564	128380	107283	0	20000	9480	4383662	626144	0	0	136659	276667	0	0	0	0	452009	7062	0	0	171709	0	400077	30000	267189	4425868	0	71688
308	Baarn	6	0	0	894200	0	76488	0	0	0	0	0	0	580	0	0	32954	0	3510	0	27943	0	0	2370	0	0	0	0	0	0	0	0	0	0	108941	7062	0	0	45238	0	0	7000	39086	0	0	14760
312	Bunnik	6	0	0	558639	0	33283	0	0	0	0	0	0	435	0	0	31196	0	2249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89615	7062	0	0	35509	0	0	3000	25558	0	0	9923
313	Bunschoten	6	0	0	1165024	0	61332	0	0	0	0	0	0	869	0	0	32438	0	3158	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	0	101759	7062	0	0	52048	0	0	4000	35094	0	0	12103
310	De Bilt	6	0	0	1113232	0	155921	0	0	0	0	0	0	1883	0	0	36411	0	6160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172198	7062	0	0	35509	0	0	9000	73900	0	0	21492
736	De Ronde Venen	6	0	0	1970550	0	137385	0	0	0	0	0	0	2608	0	0	36660	0	6396	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	0	194174	7062	0	0	190680	0	0	8000	79712	0	0	21831
317	Eemnes	6	0	0	267894	0	21098	0	0	0	0	0	0	145	0	0	30084	0	1347	0	0	0	0	4740	0	0	0	0	0	0	0	0	0	0	71008	7062	0	0	79288	0	0	4000	15502	0	0	7331
321	Houten	6	0	0	813221	0	131660	0	0	0	0	0	0	2608	0	0	37683	0	7100	0	0	0	0	4740	0	0	0	0	0	0	0	0	0	0	182464	7062	0	0	62263	0	0	9000	83445	0	0	23189
353	IJsselstein	6	0	0	2930756	0	139347	0	0	0	0	0	0	724	0	0	34633	0	4701	0	68	0	0	2370	0	0	0	0	0	0	0	0	0	0	123205	7062	0	0	41346	0	0	3000	49676	0	0	17054
327	Leusden	6	0	0	1594920	0	83140	0	0	0	0	0	0	290	0	0	34023	0	4417	0	31512	0	0	0	0	0	0	0	0	0	0	0	0	0	138329	7062	0	0	58858	0	0	4000	46087	0	0	16223
331	Lopik	6	0	0	858381	0	53973	0	0	0	0	0	0	869	0	0	31031	0	2064	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	0	107093	7062	0	0	87557	0	0	2000	32522	0	0	10028
335	Montfoort	6	0	0	509205	0	39253	0	0	0	0	0	0	435	0	0	30927	0	1955	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	0	84934	7062	0	0	113824	0	0	1000	22436	0	0	9378
356	Nieuwegein	6	0	0	3218880	0	288999	0	0	0	0	0	0	2753	0	0	40221	0	9183	0	0	0	0	4740	0	0	0	0	0	0	0	0	0	0	201371	7062	0	0	151279	0	0	15000	95051	0	0	31889
589	Oudewater	6	0	0	514278	0	41215	0	0	0	0	0	0	145	0	0	30228	0	1436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76786	7062	0	0	77342	0	0	2000	16085	0	0	8401
339	Renswoude	6	0	0	311184	0	11694	0	0	0	0	0	0	0	0	0	29376	0	807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13028	55005	7062	0	0	0	0	0	0	9834	0	0	6658
340	Rhenen	6	0	0	1513385	0	74417	0	0	0	0	0	0	1883	0	0	32100	0	2853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	102692	7062	0	0	51561	0	0	2000	37373	0	0	11876
342	Soest	6	0	0	3233098	0	188904	0	0	0	0	0	0	2028	0	0	37066	0	6659	0	544	0	0	7110	0	0	0	0	0	0	0	0	0	0	170292	7062	0	0	108473	0	0	5000	69775	0	0	22866
1904	Stichtse Vecht	6	0	0	3326937	0	196918	0	0	0	0	0	0	2173	0	0	40452	0	9232	0	0	0	0	18960	0	0	0	0	0	0	0	0	0	0	240971	7062	0	0	142037	0	0	14000	106785	0	0	28897
344	Utrecht	6	0	99740150	19972294	270060	1973488	951227	582831	0	0	0	998494	16081	12389	0	95177	223354	51645	907524	109255	0	50000	49770	25858716	3693552	0	710071	136659	562946	0	0	518448	0	967873	7062	50000	546700	430002	4809	400077	62000	608582	12822255	35000	191409
1581	Utrechtse Heuvelrug	6	0	0	1647890	0	140928	0	0	0	0	0	0	1739	0	0	37632	0	7078	0	42730	0	0	7110	0	0	0	0	0	0	0	0	0	0	223133	7062	0	0	127444	0	0	8000	85054	0	0	24798
345	Veenendaal	6	0	0	7910697	0	310097	0	0	0	0	0	0	5216	0	0	40787	0	9618	0	1938	0	0	0	0	0	0	0	0	0	0	0	0	0	206801	7062	0	0	81233	0	0	11000	109351	0	0	31881
1961	Vijfheerenlanden	6	0	0	4041308	0	228838	0	0	0	0	0	0	2898	0	0	39098	0	8429	0	1462	136010	0	9480	0	0	0	0	0	0	0	0	0	0	253848	7062	0	0	147874	0	0	9000	105280	0	0	27770
352	Wijk bij Duurstede	6	0	0	1350202	0	78151	0	0	0	0	0	0	435	0	0	32792	0	3368	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	0	114526	7062	0	0	42806	0	0	3000	35483	0	0	13246
632	Woerden	6	0	0	6229006	0	175493	0	0	0	0	0	0	2898	0	0	38143	0	7473	0	0	0	0	7110	0	0	0	0	0	0	0	0	0	0	207008	7062	0	0	76856	0	0	10000	85883	0	0	25261
351	Woudenberg	6	0	0	483642	0	40561	0	0	0	0	0	0	145	0	0	30880	0	2015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	85399	7062	0	0	44265	0	0	4000	23421	0	0	9680
355	Zeist	6	0	0	6264068	0	340790	0	0	0	0	0	0	1594	0	0	40439	208206	9352	0	60270	0	0	0	0	0	0	0	0	0	0	0	0	0	217737	7062	0	0	154198	0	0	7000	107880	0	0	30690
358	Aalsmeer	7	0	0	905442	0	87665	0	0	0	0	0	0	724	0	0	34293	0	4641	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	121671	7062	0	0	139605	0	0	3000	46890	0	0	17876
361	Alkmaar	7	0	21345062	12871591	210775	512739	150000	479205	0	311944	0	0	7823	0	0	48781	0	15697	165775	0	79330	20000	2370	3597871	513905	0	327033	136659	0	0	0	234266	0	359429	7062	0	251790	151766	5610	400077	19000	175850	5726804	0	56877
362	Amstelveen	7	0	0	2576164	0	325634	0	0	0	0	0	0	6809	0	0	45235	0	13253	0	0	0	17500	0	0	0	0	0	0	0	0	0	0	0	280830	7062	0	0	99231	0	0	14000	141900	0	0	44948
363	Amsterdam	7	0	122779604	80056564	521777	6750659	2605874	1104923	0	0	0	2505751	54184	24778	0	194565	42477	128867	4209153	175202	54983	50000	260700	64893204	9269077	0	879088	136659	0	958000	215702	470264	0	2344676	7062	50000	676830	416382	15228	400077	235000	1658060	24338704	35000	696376
373	Bergen (NH.)	7	0	0	1438892	0	79160	0	0	0	0	0	0	869	0	0	33869	0	4230	0	2040	44793	0	0	0	0	0	0	0	0	0	0	0	0	156296	7062	0	0	39887	0	0	6000	36908	0	0	18447
375	Beverwijk	7	0	0	5417948	0	218998	0	0	0	0	0	0	3332	0	0	36129	0	5995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144069	7062	0	0	70532	0	0	13000	67195	0	0	25575
376	Blaricum	7	0	0	188054	0	40888	0	0	0	0	0	0	580	0	0	30566	0	1753	0	0	0	0	4740	0	0	0	0	0	0	0	0	0	0	67329	7062	0	0	0	0	0	0	21839	0	0	7968
377	Bloemendaal	7	0	0	995520	0	54218	0	0	0	0	0	0	3042	0	0	32709	0	3358	0	0	0	0	4740	0	0	0	0	0	0	0	0	0	0	110217	7062	0	0	10215	0	0	1000	39101	0	0	12224
383	Castricum	7	0	0	923254	0	73272	0	0	0	0	0	0	1304	0	0	35054	0	5101	0	0	20837	0	0	0	0	0	0	0	0	0	0	0	0	145297	7062	0	0	66154	0	0	4000	51171	0	0	17817
400	Den Helder	7	0	8307889	7734886	0	342235	0	0	0	0	0	0	2318	0	0	38866	0	7936	0	93686	43710	0	4740	1786882	255231	0	0	0	0	0	0	0	0	191540	7062	0	0	185815	0	0	8000	90209	1785422	0	31546
384	Diemen	7	0	0	2042580	0	127899	0	0	0	0	0	0	2173	0	0	34170	0	4602	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	0	116671	7062	0	0	49129	3206	0	9000	43363	0	0	19993
1980	Dijk en Waard	7	0	0	6485736	0	313859	0	0	0	0	0	0	3767	0	0	44471	0	12490	0	55205	0	0	2370	0	0	0	0	0	0	0	0	0	0	278577	7062	0	0	267535	0	0	9000	135760	0	0	36780
498	Drechterland	7	0	0	1393024	0	60079	0	0	0	0	0	0	1014	0	0	32032	0	2861	0	0	51617	0	0	0	0	0	0	0	0	0	0	0	0	111805	7062	0	0	16052	0	0	2000	36795	0	0	12458
385	Edam-Volendam	7	0	0	1836727	0	92898	0	0	0	0	0	0	1014	0	0	35088	0	5160	0	0	51805	0	14220	0	0	0	0	0	0	0	0	0	0	148983	7062	0	0	64695	0	0	4000	55524	0	0	17856
388	Enkhuizen	7	0	0	1772131	0	88973	0	0	0	0	0	0	145	0	0	31809	0	2651	0	4079	11396	0	0	0	0	0	0	0	0	0	0	0	0	83606	7062	0	0	83179	0	0	3000	27445	0	0	12054
1942	Gooise Meren	7	0	0	1756796	0	184270	0	0	0	0	0	0	2463	0	0	39227	0	8469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198792	7062	0	0	85611	0	0	11000	104827	0	0	28172
392	Haarlem	7	0	47454528	18162842	173174	781376	150000	313979	0	287749	0	0	7389	0	0	58572	0	23215	313817	9654	0	20000	11850	7745734	1106369	0	285029	136659	0	0	0	185999	0	445434	7062	0	219450	88043	0	400077	15000	259778	7089195	0	89712
394	Haarlemmermeer	7	0	0	6220226	0	563441	150000	0	0	0	70542	0	8258	0	0	57688	0	22780	0	57313	0	20000	28440	0	0	0	0	0	0	0	0	0	0	527330	7062	0	0	1134350	0	0	31000	260363	0	0	71688
396	Heemskerk	7	0	0	4656732	0	191848	0	0	0	0	0	0	3622	0	0	35632	0	5535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140899	7062	0	0	10215	0	0	8000	58489	0	0	20754
397	Heemstede	7	0	0	1487760	0	52828	0	0	0	0	0	0	1883	0	0	33466	0	3899	0	0	0	0	7110	0	0	0	0	0	0	0	0	0	0	103185	7062	0	0	10215	0	0	2000	40826	0	0	15016
399	Heiloo	7	0	0	1074783	0	55199	0	0	0	0	0	0	1449	0	0	32833	0	3413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99919	7062	0	0	10215	0	0	4000	33009	0	0	13080
402	Hilversum	7	0	13494013	8069266	141457	409864	0	222005	0	0	0	0	3042	0	0	45311	0	13102	0	0	0	20000	2370	2287298	326708	0	128013	136659	0	0	0	0	0	280499	7062	0	98560	71991	0	400077	12000	155639	2982084	0	47540
1911	Hollands Kroon	7	0	0	3266940	0	181544	0	0	0	0	0	0	1594	0	0	37378	0	6938	0	0	54400	0	2370	0	0	0	0	0	0	0	0	0	0	340636	7062	0	0	489346	0	0	14000	89250	0	0	31126
405	Hoorn	7	0	11564919	6726726	0	383205	0	0	0	0	0	0	1594	0	0	42034	0	10557	0	0	14537	20000	11850	2259991	322808	0	0	0	0	0	0	0	0	223595	7062	0	0	104582	0	0	7000	115425	0	0	32985
406	Huizen	7	0	0	1814436	0	178164	0	0	0	0	0	0	1014	0	0	35985	0	5790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139192	7062	0	0	25781	0	0	4000	62109	0	0	20943
1598	Koggenland	7	0	0	696444	0	57571	0	0	0	0	0	0	1883	0	0	32609	0	3300	0	12476	68344	0	0	0	0	0	0	0	0	0	0	0	0	130886	7062	0	0	58371	0	0	3000	47108	0	0	13365
415	Landsmeer	7	0	0	184114	0	38871	0	0	0	0	0	0	724	0	0	30494	0	1643	0	748	25476	0	0	0	0	0	0	0	0	0	0	0	0	71517	7062	0	0	26267	0	0	1000	22208	0	0	7750
417	Laren	7	0	0	195032	0	41788	0	0	0	0	0	0	435	0	0	30463	0	1644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66188	7062	0	0	0	0	0	2000	16113	0	0	8404
420	Medemblik	7	0	0	2835574	0	163635	0	0	0	0	0	0	1739	0	0	36743	0	6461	0	3671	114792	0	0	0	0	0	0	0	0	0	0	0	0	206673	7062	0	0	116256	0	0	5000	79833	0	0	23405
431	Oostzaan	7	0	0	28479	0	36772	0	0	0	0	0	0	580	0	0	30145	0	1364	0	0	14751	0	0	0	0	0	0	0	0	0	0	0	0	60947	7062	0	0	29672	0	0	4000	15440	0	0	7046
432	Opmeer	7	0	0	381173	0	24588	0	0	0	0	0	0	580	0	0	30576	0	1710	0	0	35427	0	0	0	0	0	0	0	0	0	0	0	0	82778	7062	0	0	0	0	0	2000	20098	0	0	8984
437	Ouder-Amstel	7	0	0	264611	0	48848	0	0	0	0	0	0	580	0	0	30970	0	2004	0	4963	0	0	0	0	0	0	0	0	0	0	0	0	0	78542	7062	0	0	79774	0	0	5000	22816	0	0	9778
439	Purmerend	7	0	6304163	6976795	0	403377	0	0	0	0	0	0	3767	0	0	45414	0	13193	0	7343	79765	20000	2370	1499859	214234	0	0	0	0	0	0	0	0	307621	7062	0	0	126471	0	0	12000	132776	0	0	44136
441	Schagen	7	0	0	5262235	0	130515	0	0	0	0	0	0	1449	0	0	36997	0	6660	0	25121	101496	0	0	0	0	0	0	0	0	0	0	0	0	234910	7062	0	0	175114	0	0	8000	77591	0	0	28300
532	Stede Broec	7	0	0	2238795	0	89300	0	0	0	0	0	0	290	0	0	32387	0	3107	0	0	14294	0	0	0	0	0	0	0	0	0	0	0	0	92387	7062	0	0	21403	0	0	3000	29897	0	0	11955
448	Texel	7	0	0	2618917	0	53237	0	0	0	0	0	0	145	0	0	30883	0	1962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151237	7062	0	0	105068	0	0	1000	35115	0	0	13933
450	Uitgeest	7	0	0	899117	0	33120	0	0	0	0	0	0	435	0	0	30878	0	1891	0	0	19107	0	2370	0	0	0	0	0	0	0	0	0	0	74020	7062	0	0	10215	0	0	1000	19014	0	0	8628
451	Uithoorn	7	0	0	1380831	0	128062	0	0	0	0	0	0	2173	0	0	33961	0	4413	0	3025	0	0	0	0	0	0	0	0	0	0	0	0	0	116738	7062	0	0	55939	0	0	3000	46257	0	0	16642
453	Velsen	7	0	0	5954774	0	341390	0	0	0	0	0	0	1739	0	0	41104	0	9655	0	46231	0	20000	0	0	0	0	0	0	0	0	0	0	0	221264	7062	0	0	160035	0	0	22000	103370	0	0	34911
852	Waterland	7	0	0	556985	0	54872	0	0	0	0	0	0	724	0	0	31563	0	2472	0	4113	50358	0	2370	0	0	0	0	0	0	0	0	0	0	101461	7062	0	0	29186	0	0	1000	32621	0	0	10240
1696	Wijdemeren	7	0	0	573352	0	67466	0	0	0	0	0	0	580	0	0	32893	0	3461	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	0	116078	7062	0	0	58858	0	0	1000	44027	0	0	13134
880	Wormerland	7	0	0	85438	0	64113	0	0	0	0	0	0	580	0	0	31381	0	2332	0	0	41308	0	0	0	0	0	0	0	0	0	0	0	0	91809	7062	0	0	65668	0	0	2000	26634	0	0	10677
479	Zaanstad	7	0	12960299	10050530	176222	961747	150000	319823	0	366383	0	0	6664	12389	83750	57523	0	22404	256374	374	0	20000	2370	2548339	363994	0	183018	136659	0	0	0	113443	0	455116	7062	30000	140910	301099	0	400077	24000	256943	4431407	0	69488
473	Zandvoort	7	0	0	788183	0	98623	0	0	0	0	0	0	869	0	0	31536	0	2462	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	0	90763	7062	0	0	51075	0	0	3000	25552	0	0	12103
482	Alblasserdam	8	0	0	1518769	0	78996	0	0	0	0	0	0	1883	0	0	32088	0	2857	0	0	5147	0	0	0	0	0	0	0	0	0	0	0	0	85066	7062	0	0	85125	0	0	5000	35757	0	0	11361
613	Albrandswaard	8	0	0	208848	0	76543	0	0	0	0	0	0	1304	0	0	33144	0	3699	0	0	17400	0	0	0	0	0	0	0	0	0	0	0	0	106399	7062	0	0	10215	0	0	6000	42452	0	0	12645
484	Alphen aan den Rijn	8	0	0	15009422	0	380316	0	0	0	0	0	0	3187	0	0	49281	0	16027	0	0	0	17000	0	0	0	0	0	0	423374	0	0	0	0	373693	7062	0	0	194085	0	0	22000	171193	0	0	51495
489	Barendrecht	8	0	0	142397	0	150251	0	0	0	0	0	0	1014	0	0	37389	0	6851	0	7173	11688	0	4740	0	0	0	0	0	570000	0	0	0	0	159356	7062	0	0	45238	0	0	14000	73946	0	0	21043
1901	Bodegraven-Reeuwijk	8	0	0	1310302	0	103475	0	0	0	0	0	0	1594	0	0	34904	0	5096	0	30968	0	0	9480	0	0	0	0	0	0	0	0	0	0	159090	7062	0	0	63236	0	0	10000	68244	0	0	18176
502	Capelle aan den IJssel	8	0	0	6575580	0	462256	0	0	0	0	0	0	4057	0	0	40863	0	9482	0	3229	0	20000	0	0	0	0	0	0	0	0	0	0	0	201728	7062	0	0	9242	4809	0	9000	110090	0	0	32577
503	Delft	8	0	20776039	12984151	0	569111	150000	0	0	0	0	0	4491	12389	0	47607	0	14890	0	31002	0	20000	0	2653716	379046	0	0	0	0	0	0	0	0	299080	7062	0	0	86098	0	0	13000	147088	3648394	0	64316
505	Dordrecht	8	0	44431790	21636812	166099	729175	150000	281903	0	311080	0	0	11156	12389	0	50496	0	17044	525469	272	0	20000	4740	5427247	775205	0	254025	136659	274187	0	0	0	0	364963	7062	30000	195580	359470	0	400077	41000	206521	4279386	35000	61132
1924	Goeree-Overflakkee	8	0	0	6043834	0	162245	0	0	0	0	0	0	1594	0	0	37751	0	7241	0	0	301329	0	2370	0	0	0	0	0	146634	0	0	0	0	295102	7062	0	0	141064	0	0	7000	92680	0	0	28262
512	Gorinchem	8	0	0	7926135	124986	193538	0	170081	0	0	0	0	4057	0	0	35300	0	5398	0	26073	11276	0	0	0	0	0	0	136659	159769	0	0	0	0	133993	7062	0	0	98745	0	400077	11000	60513	0	0	19957
513	Gouda	8	0	18114787	10843061	142732	387076	0	208570	0	0	0	0	4926	0	0	42046	182219	10571	0	646	0	20000	2370	2178246	311132	0	0	136659	0	0	0	0	0	221661	7062	0	0	98258	0	400077	10000	118218	2541156	0	36380
523	Hardinxveld-Giessendam	8	0	0	99678	0	49230	0	0	0	0	0	0	1159	0	0	31767	0	2622	0	0	10821	0	0	0	0	0	0	0	0	0	0	0	0	85349	7062	0	0	165385	0	0	5000	30499	0	0	9965
531	Hendrik-Ido-Ambacht	8	0	0	1251309	0	112443	0	0	0	0	0	0	2463	0	0	34156	0	4517	0	680	5563	0	2370	0	0	0	0	0	0	0	0	0	0	114497	7062	0	0	151766	0	0	9000	53668	0	0	14668
534	Hillegom	8	0	0	2001444	0	65939	0	0	0	0	0	0	1159	0	0	32471	0	3152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92348	7062	0	0	37455	0	0	3000	30701	0	0	13039
1963	Hoeksche Waard	8	0	0	5325889	0	230774	0	0	0	0	0	0	3332	0	0	44718	0	12599	0	70536	294404	0	16590	0	0	0	0	0	153189	0	0	0	0	390306	7062	0	0	151765	0	0	16000	140265	0	0	38502
1884	Kaag en Braassem	8	0	0	80691	0	83412	0	0	0	0	0	0	1014	0	0	33465	0	4011	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	0	133823	7062	0	0	44751	0	0	3000	51692	0	0	14656
537	Katwijk	8	0	0	7350138	0	212892	0	0	0	0	0	0	1883	0	0	40616	0	9349	0	128325	0	0	0	0	0	0	0	0	0	0	0	0	0	205057	7062	0	0	113824	0	0	9000	104596	0	0	30540
542	Krimpen aan den IJssel	8	0	0	2394737	0	127572	0	0	0	0	0	0	435	0	0	33813	0	4141	0	12646	4317	0	2370	0	0	0	0	0	0	0	0	0	0	106547	7062	0	0	103123	0	0	3000	46873	0	0	15218
1931	Krimpenerwaard	8	0	0	3588984	0	183180	0	0	0	0	0	0	3187	0	0	38873	0	8099	0	8566	127954	0	0	0	0	0	0	0	0	0	0	0	0	249728	7062	0	0	154198	0	0	9000	103398	0	0	25978
1621	Lansingerland	8	0	0	170089	0	219706	0	0	0	0	0	0	2028	0	0	40127	0	9089	0	6119	0	0	4740	0	0	0	0	0	0	0	0	0	0	215724	7062	0	0	68586	0	0	7000	110671	0	0	29553
546	Leiden	8	0	36227186	21998239	190119	594461	150000	368946	0	324042	0	0	5940	0	0	51421	0	17838	213580	15195	0	20000	7110	8042702	1148786	0	383038	136659	0	0	0	0	0	349256	7062	30000	294910	117229	0	400077	12000	170987	6677150	0	76532
547	Leiderdorp	8	0	0	204079	0	80632	0	0	0	0	0	0	2028	0	0	33434	0	3882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104133	7062	0	0	19457	0	0	5000	39195	0	0	15811
1916	Leidschendam-Voorburg	8	0	0	3189160	0	376663	0	0	0	0	0	0	3477	0	0	42558	0	10913	0	0	0	20000	11850	0	0	0	0	0	0	0	0	0	0	235607	7062	0	0	41346	0	0	11000	124824	0	0	41271
553	Lisse	8	0	0	1850761	0	67984	0	0	0	0	0	0	1449	0	0	32617	0	3283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96085	7062	0	0	26267	0	0	1000	32273	0	0	13410
556	Maassluis	8	0	0	4886061	0	222814	0	0	0	0	0	0	1159	0	0	34586	0	4955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120931	7062	0	0	22862	0	0	5000	56379	0	0	17506
1842	Midden-Delfland	8	0	0	78318	0	53427	0	0	0	0	0	0	869	0	0	31954	0	2733	0	0	0	0	18960	0	0	0	0	0	0	0	0	0	0	103419	7062	0	0	38428	0	0	5000	35079	0	0	12099
1978	Molenlanden	8	0	0	1287004	0	105764	0	0	0	0	0	0	1449	0	0	36550	0	6338	0	0	174034	0	9480	0	0	0	0	0	0	0	0	0	0	236748	7062	0	0	204299	0	0	12000	90020	0	0	21761
569	Nieuwkoop	8	0	0	111544	0	73599	0	0	0	0	0	0	1014	0	0	33764	0	4135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143888	7062	0	0	35509	0	0	2000	50616	0	0	15090
1930	Nissewaard	8	0	15804689	10009883	0	542779	0	0	0	0	0	0	5795	0	0	44233	0	12188	0	0	75229	20000	2370	2639974	377083	0	0	0	0	0	0	0	0	279641	7062	0	0	85611	0	0	24000	144484	3250515	0	40219
575	Noordwijk	8	0	0	2716745	0	124300	0	0	0	0	0	0	2463	0	0	36537	0	6341	0	782	0	0	2370	0	0	0	0	0	0	0	0	0	0	171319	7062	0	0	36482	0	0	4000	61207	0	0	24104
579	Oegstgeest	8	0	0	857606	0	66239	0	0	0	0	0	0	1014	0	0	33004	0	3614	0	21994	0	0	0	0	0	0	0	0	0	0	0	0	0	97268	7062	0	0	10215	0	0	4000	40374	0	0	13305
590	Papendrecht	8	0	0	2013497	0	126372	0	0	0	0	0	0	1739	0	0	34326	0	4530	0	13529	2561	0	4740	0	0	0	0	0	0	0	0	0	0	114107	7062	0	0	177060	0	0	9000	46731	0	0	16538
1926	Pijnacker-Nootdorp	8	0	0	182742	0	178546	0	0	0	0	0	0	2028	0	0	38697	0	8095	0	2923	0	0	4740	0	0	0	0	0	0	0	0	0	0	189972	7062	0	0	31131	0	0	5000	94077	0	0	23209
597	Ridderkerk	8	0	0	206475	0	227421	0	0	0	0	0	0	3042	0	0	37023	0	6664	0	0	20068	0	2370	0	0	0	0	0	0	0	0	0	0	158277	7062	0	0	28213	0	0	13000	75006	0	0	23109
603	Rijswijk	8	0	0	2538507	0	380507	0	0	0	0	0	0	2898	0	0	38613	0	8140	0	0	0	0	11850	0	0	0	0	0	0	0	0	0	0	178575	7062	0	0	36969	0	0	11000	96806	0	0	32967
599	Rotterdam	8	0	118797209	55673898	550185	6291647	2111492	1466163	0	0	0	1579767	28686	12389	0	149530	0	93185	4407313	38956	5011	50000	26070	40912356	5843752	0	1005101	136659	0	0	0	603578	0	1748051	7062	50000	773850	2249243	30456	400077	317000	1383518	18160586	0	395508
606	Schiedam	8	0	0	10642619	0	560170	0	0	0	298118	0	0	4636	12389	0	43087	0	11317	316901	0	0	20000	4740	0	0	142000	0	0	0	0	0	0	0	235153	7062	0	0	138632	0	0	11000	134193	0	0	44384
518	's-Gravenhage	8	0	82963855	44850349	378014	4564334	1654253	820624	0	0	0	1151076	25788	12389	0	130317	6929	79000	2139274	42628	0	50000	33180	29810221	4257969	0	760076	136659	0	0	0	634685	0	1431719	7062	50000	585200	305963	4007	400077	62000	1087063	16248969	0	354117
