Gemeenten	Centrumfunctie	Sociale structuur
Aa en Hunze	Weinig	Goed
Aalsmeer	Weinig	Goed
Aalten	Weinig	Redelijk
Achtkarspelen	Weinig	Matig
Alblasserdam	Weinig	Matig
Albrandswaard	Zonder	Goed
Alkmaar	Sterk	Matig
Almelo	Sterk	Zwak
Almere	Sterk	Matig
Alphen aan den Rijn	Sterk	Redelijk
Alphen-Chaam	Zonder	Goed
Altena	Redelijk	Redelijk
Ameland	Zonder	Redelijk
Amersfoort	Sterk	Redelijk
Amstelveen	Sterk	Goed
Amsterdam		Zwak
Apeldoorn	Sterk	Redelijk
Arnhem	Sterk	Zwak
Assen	Sterk	Matig
Asten	Weinig	Redelijk
Baarle-Nassau	Zonder	Redelijk
Baarn	Weinig	Goed
Barendrecht	Redelijk	Goed
Barneveld	Redelijk	Goed
Beek (L.)	Zonder	Redelijk
Beekdaelen	Weinig	Redelijk
Beesel	Weinig	Matig
Berg en Dal	Weinig	Redelijk
Bergeijk	Zonder	Goed
Bergen (L.)	Zonder	Redelijk
Bergen (NH.)	Weinig	Goed
Bergen op Zoom	Sterk	Matig
Berkelland	Redelijk	Redelijk
Bernheze	Weinig	Goed
Best	Redelijk	Goed
Beuningen	Weinig	Goed
Beverwijk	Redelijk	Matig
De Bilt	Redelijk	Goed
Bladel	Weinig	Redelijk
Blaricum	Zonder	Goed
Bloemendaal	Zonder	Goed
Bodegraven-Reeuwijk	Weinig	Goed
Boekel	Zonder	Redelijk
Borger-Odoorn	Weinig	Redelijk
Borne	Weinig	Goed
Borsele	Weinig	Goed
Boxtel	Redelijk	Zwak
Breda	Sterk	Redelijk
Bronckhorst	Weinig	Goed
Brummen	Weinig	Matig
Brunssum	Redelijk	Zwak
Bunnik	Zonder	Goed
Bunschoten	Weinig	Goed
Buren	Zonder	Goed
Capelle aan den IJssel	Redelijk	Zwak
Castricum	Weinig	Goed
Coevorden	Redelijk	Redelijk
Cranendonck	Weinig	Redelijk
Culemborg	Redelijk	Redelijk
Dalfsen	Weinig	Goed
Dantumadiel	Weinig	Zwak
Delft	Sterk	Matig
Deurne	Redelijk	Redelijk
Deventer	Sterk	Matig
Diemen	Weinig	Redelijk
Dijk en Waard	Sterk	Redelijk
Dinkelland	Weinig	Goed
Doesburg	Zonder	Zwak
Doetinchem	Sterk	Zwak
Dongen	Weinig	Redelijk
Dordrecht	Sterk	Zwak
Drechterland	Zonder	Redelijk
Drimmelen	Weinig	Goed
Dronten	Redelijk	Redelijk
Druten	Weinig	Redelijk
Duiven	Weinig	Redelijk
Echt-Susteren	Redelijk	Matig
Edam-Volendam	Redelijk	Goed
Ede	Sterk	Goed
Eemnes	Zonder	Goed
Eemsdelta	Redelijk	Zwak
Eersel	Weinig	Goed
Eijsden-Margraten	Weinig	Goed
Eindhoven	Sterk	Zwak
Elburg	Weinig	Redelijk
Emmen	Sterk	Zwak
Enkhuizen	Weinig	Matig
Enschede	Sterk	Zwak
Epe	Weinig	Redelijk
Ermelo	Redelijk	Redelijk
Etten-Leur	Redelijk	Redelijk
De Fryske Marren	Redelijk	Redelijk
Geertruidenberg	Weinig	Matig
Geldrop-Mierlo	Redelijk	Redelijk
Gemert-Bakel	Weinig	Redelijk
Gennep	Weinig	Redelijk
Gilze en Rijen	Weinig	Redelijk
Goeree-Overflakkee	Redelijk	Redelijk
Goes	Redelijk	Matig
Goirle	Weinig	Goed
Gooise Meren	Redelijk	Goed
Gorinchem	Redelijk	Zwak
Gouda	Sterk	Matig
's-Gravenhage (gemeente)		Zwak
Groningen (gemeente)	Sterk	Matig
Gulpen-Wittem	Zonder	Redelijk
Haaksbergen	Weinig	Redelijk
Haarlem	Sterk	Redelijk
Haarlemmermeer	Sterk	Goed
Halderberge	Weinig	Redelijk
Hardenberg	Redelijk	Redelijk
Harderwijk	Sterk	Redelijk
Hardinxveld-Giessendam	Weinig	Goed
Harlingen	Weinig	Zwak
Hattem	Zonder	Goed
Heemskerk	Redelijk	Redelijk
Heemstede	Weinig	Goed
Heerde	Weinig	Redelijk
Heerenveen	Sterk	Matig
Heerlen	Sterk	Zwak
Heeze-Leende	Zonder	Goed
Heiloo	Weinig	Goed
Den Helder	Sterk	Zwak
Hellendoorn	Redelijk	Redelijk
Helmond	Sterk	Zwak
Hendrik-Ido-Ambacht	Weinig	Goed
Hengelo (O.)	Sterk	Zwak
's-Hertogenbosch	Sterk	Zwak
Heumen	Zonder	Goed
Heusden	Redelijk	Redelijk
Hillegom	Weinig	Goed
Hilvarenbeek	Zonder	Goed
Hilversum	Sterk	Redelijk
Hoeksche Waard	Redelijk	Goed
Hof van Twente	Weinig	Redelijk
Het Hogeland	Weinig	Redelijk
Hollands Kroon	Redelijk	Redelijk
Hoogeveen	Sterk	Zwak
Hoorn	Sterk	Matig
Horst aan de Maas	Redelijk	Goed
Houten	Redelijk	Goed
Huizen	Redelijk	Redelijk
Hulst	Redelijk	Redelijk
IJsselstein	Redelijk	Goed
Kaag en Braassem	Weinig	Goed
Kampen	Sterk	Redelijk
Kapelle	Weinig	Goed
Katwijk	Sterk	Redelijk
Kerkrade	Redelijk	Zwak
Koggenland	Zonder	Goed
Krimpen aan den IJssel	Weinig	Matig
Krimpenerwaard	Weinig	Goed
Laarbeek	Weinig	Redelijk
Land van Cuijk	Sterk	Redelijk
Landgraaf	Redelijk	Zwak
Landsmeer	Zonder	Goed
Lansingerland	Redelijk	Goed
Laren (NH.)	Zonder	Goed
Leeuwarden	Sterk	Matig
Leiden	Sterk	Redelijk
Leiderdorp	Weinig	Goed
Leidschendam-Voorburg	Sterk	Redelijk
Lelystad	Sterk	Zwak
Leudal	Weinig	Goed
Leusden	Weinig	Goed
Lingewaard	Redelijk	Goed
Lisse	Weinig	Goed
Lochem	Weinig	Goed
Loon op Zand	Weinig	Redelijk
Lopik	Zonder	Redelijk
Losser	Weinig	Matig
Maasdriel	Weinig	Redelijk
Maasgouw	Weinig	Redelijk
Maashorst	Sterk	Matig
Maassluis	Redelijk	Matig
Maastricht	Sterk	Zwak
Medemblik	Redelijk	Redelijk
Meerssen	Weinig	Goed
Meierijstad	Sterk	Matig
Meppel	Redelijk	Redelijk
Middelburg (Z.)	Sterk	Redelijk
Midden-Delfland	Zonder	Goed
Midden-Drenthe	Weinig	Goed
Midden-Groningen	Redelijk	Zwak
Moerdijk	Weinig	Redelijk
Molenlanden	Weinig	Goed
Montferland	Redelijk	Matig
Montfoort	Zonder	Goed
Mook en Middelaar	Zonder	Goed
Neder-Betuwe	Weinig	Goed
Nederweert	Weinig	Redelijk
Nieuwegein	Sterk	Matig
Nieuwkoop	Weinig	Goed
Nijkerk	Redelijk	Goed
Nijmegen	Sterk	Matig
Nissewaard	Sterk	Matig
Noardeast-Fryslân	Redelijk	Matig
Noord-Beveland	Zonder	Goed
Noordenveld	Weinig	Goed
Noordoostpolder	Redelijk	Matig
Noordwijk	Redelijk	Goed
Nuenen, Gerwen en Nederwetten	Weinig	Goed
Nunspeet	Redelijk	Redelijk
Oegstgeest	Weinig	Goed
Oirschot	Zonder	Goed
Oisterwijk	Weinig	Goed
Oldambt	Redelijk	Zwak
Oldebroek	Weinig	Redelijk
Oldenzaal	Redelijk	Matig
Olst-Wijhe	Weinig	Goed
Ommen	Weinig	Redelijk
Oost Gelre	Redelijk	Goed
Oosterhout	Sterk	Redelijk
Ooststellingwerf	Weinig	Matig
Oostzaan	Zonder	Goed
Opmeer	Zonder	Redelijk
Opsterland	Weinig	Redelijk
Oss	Sterk	Zwak
Oude IJsselstreek	Redelijk	Matig
Ouder-Amstel	Zonder	Goed
Oudewater	Zonder	Goed
Overbetuwe	Redelijk	Goed
Papendrecht	Redelijk	Matig
Peel en Maas	Redelijk	Redelijk
Pekela	Weinig	Zwak
Pijnacker-Nootdorp	Weinig	Goed
Purmerend	Sterk	Redelijk
Putten	Weinig	Redelijk
Raalte	Redelijk	Goed
Reimerswaal	Weinig	Goed
Renkum	Weinig	Redelijk
Renswoude	Zonder	Goed
Reusel-De Mierden	Zonder	Redelijk
Rheden	Redelijk	Matig
Rhenen	Weinig	Redelijk
Ridderkerk	Redelijk	Matig
Rijssen-Holten	Redelijk	Redelijk
Rijswijk (ZH.)	Redelijk	Matig
Roerdalen	Zonder	Redelijk
Roermond	Sterk	Zwak
De Ronde Venen	Weinig	Goed
Roosendaal	Sterk	Matig
Rotterdam		Zwak
Rozendaal	Zonder	Goed
Rucphen	Weinig	Matig
Schagen	Redelijk	Goed
Scherpenzeel	Zonder	Goed
Schiedam	Sterk	Zwak
Schiermonnikoog	Zonder	Goed
Schouwen-Duiveland	Weinig	Redelijk
Simpelveld	Zonder	Redelijk
Sint-Michielsgestel	Weinig	Goed
Sittard-Geleen	Sterk	Zwak
Sliedrecht	Weinig	Matig
Sluis	Weinig	Redelijk
Smallingerland	Sterk	Zwak
Soest	Redelijk	Goed
Someren	Weinig	Redelijk
Son en Breugel	Weinig	Goed
Stadskanaal	Redelijk	Zwak
Staphorst	Weinig	Goed
Stede Broec	Weinig	Matig
Steenbergen	Weinig	Redelijk
Steenwijkerland	Redelijk	Matig
Stein (L.)	Weinig	Redelijk
Stichtse Vecht	Redelijk	Goed
Súdwest-Fryslân	Sterk	Redelijk
Terneuzen	Redelijk	Matig
Terschelling	Zonder	Goed
Texel	Zonder	Redelijk
Teylingen	Redelijk	Goed
Tholen	Weinig	Redelijk
Tiel	Redelijk	Zwak
Tilburg	Sterk	Zwak
Tubbergen	Zonder	Goed
Twenterand	Redelijk	Matig
Tynaarlo	Weinig	Goed
Tytsjerksteradiel	Weinig	Redelijk
Uitgeest	Zonder	Goed
Uithoorn	Weinig	Redelijk
Urk	Redelijk	Goed
Utrecht (gemeente)		Redelijk
Utrechtse Heuvelrug	Redelijk	Goed
Vaals	Zonder	Matig
Valkenburg aan de Geul	Zonder	Redelijk
Valkenswaard	Redelijk	Matig
Veendam	Redelijk	Zwak
Veenendaal	Sterk	Redelijk
Veere	Zonder	Goed
Veldhoven	Redelijk	Redelijk
Velsen	Sterk	Redelijk
Venlo	Sterk	Zwak
Venray	Redelijk	Matig
Vijfheerenlanden	Redelijk	Redelijk
Vlaardingen	Sterk	Zwak
Vlieland	Zonder	Redelijk
Vlissingen	Sterk	Matig
Voerendaal	Zonder	Goed
Voorne aan Zee	Redelijk	Goed
Voorschoten	Weinig	Goed
Voorst	Weinig	Goed
Vught	Redelijk	Redelijk
Waadhoeke	Redelijk	Redelijk
Waalre	Zonder	Goed
Waalwijk	Redelijk	Matig
Waddinxveen	Redelijk	Goed
Wageningen	Redelijk	Redelijk
Wassenaar	Weinig	Goed
Waterland	Zonder	Goed
Weert	Sterk	Matig
West Betuwe	Redelijk	Goed
West Maas en Waal	Zonder	Goed
Westerkwartier	Redelijk	Goed
Westerveld	Zonder	Redelijk
Westervoort	Zonder	Matig
Westerwolde	Weinig	Matig
Westland	Sterk	Goed
Weststellingwerf	Weinig	Matig
Wierden	Weinig	Goed
Wijchen	Redelijk	Redelijk
Wijdemeren	Zonder	Goed
Wijk bij Duurstede	Weinig	Goed
Winterswijk	Redelijk	Matig
Woensdrecht	Weinig	Redelijk
Woerden	Redelijk	Goed
De Wolden	Weinig	Goed
Wormerland	Zonder	Goed
Woudenberg	Zonder	Goed
Zaanstad	Sterk	Matig
Zaltbommel	Weinig	Redelijk
Zandvoort	Zonder	Redelijk
Zeewolde	Weinig	Goed
Zeist	Sterk	Goed
Zevenaar	Redelijk	Matig
Zoetermeer	Sterk	Matig
Zoeterwoude	Zonder	Goed
Zuidplas	Weinig	Goed
Zundert	Weinig	Redelijk
Zutphen	Sterk	Zwak
Zwartewaterland	Weinig	Redelijk
Zwijndrecht	Redelijk	Zwak
Zwolle	Sterk	Redelijk